temporal invariability of species richness,temporal invariability of species composition,temporal invariability of community abundance,plot.id,region,each trajectory type,current systems,current fluctuation
3.875288008,0.595720222,6.517102653,AP 2,Eastern Hokkaido,Linear,1,1
6.373704149,0.680852111,3.882250507,MB 4,Eastern Hokkaido,Linear,1,1
2.746152586,0.6445893,3.929771451,MB 5,Eastern Hokkaido,Linear,1,1
5.584665098,0.767647908,1.921669843,MC 1,Eastern Hokkaido,Linear,1,1
7.134454756,0.770150782,2.192119746,MC 3,Eastern Hokkaido,Linear,1,1
6.221362965,0.699244089,6.816793262,MZ 2,Eastern Hokkaido,Linear,1,1
4.355596642,0.597638162,6.041548231,MZ 4,Eastern Hokkaido,Linear,1,1
4.20405485,0.584063401,2.988866216,NN 3,Eastern Hokkaido,Linear,1,1
5.858449,0.672980892,3.145642,AP 3,Eastern Hokkaido,Stable,1,1
3.869388219,0.615800953,3.773476662,MB 1,Eastern Hokkaido,Stable,1,1
5.627268,0.622919388,3.09706,MB 3,Eastern Hokkaido,Stable,1,1
6.851631407,0.720492858,3.258102592,MZ 4,Eastern Hokkaido,Stable,1,1
6.454972244,0.575347708,6.611995974,MZ 1,Eastern Hokkaido,Stable,1,1
8.517048311,0.744384874,4.538114211,MZ 3,Eastern Hokkaido,Stable,1,1
6.906852,0.670102654,4.91554,MZ 5,Eastern Hokkaido,Stable,1,1
4.757512856,0.672637918,2.15793021,NN 1,Eastern Hokkaido,Stable,1,1
4.176120621,0.744496244,2.630161635,NN 2,Eastern Hokkaido,Stable,1,1
4.010172301,0.565594406,2.187505419,NN 4,Eastern Hokkaido,Stable,1,1
3.162811328,0.513480501,2.703990768,NN 5,Eastern Hokkaido,Stable,1,1
4.243601321,0.616086833,2.270264794,AP 4,Eastern Hokkaido,abrupt,1,1
7.664874,0.768386842,2.816146224,MC 2,Eastern Hokkaido,abrupt,1,1
6.535714286,0.633280021,3.026644225,AP 1,Eastern Hokkaido,Unresolve,1,1
4.85,0.59326145,2.248229648,AP 5,Eastern Hokkaido,Unresolve,1,1
3.830407786,0.576239316,4.871960082,MB 2,Eastern Hokkaido,Unresolve,1,1
4.390272869,0.635411255,3.158954682,MC 5,Eastern Hokkaido,Unresolve,1,1
2.475961924,0.474506975,13.01875608,HR 4,Southern Hokkaido,Linear,1,2
4.482549688,0.622234184,6.893001341,SS 4,Southern Hokkaido,Linear,1,2
3.398313335,0.621378066,5.276605895,US 1,Southern Hokkaido,Linear,1,2
7.204692362,0.641917802,35.66041762,ES 4,Southern Hokkaido,Stable,1,2
5.097135653,0.596417729,11.37659,ES 5,Southern Hokkaido,Stable,1,2
5.314981805,0.606479142,21.14625216,HR 1,Southern Hokkaido,Stable,1,2
4.127944087,0.571076956,10.79496584,HR 2,Southern Hokkaido,Stable,1,2
8.164371282,0.688117511,35.18533175,HR 3,Southern Hokkaido,Stable,1,2
6.15,0.62617385,17.99310716,HR 5,Southern Hokkaido,Stable,1,2
6.611166635,0.629239825,16.34826131,IW 1,Southern Hokkaido,Stable,1,2
4.03337384,0.506934703,19.68632169,IW 2,Southern Hokkaido,Stable,1,2
7.93804132,0.628206271,10.07767609,IW 3,Southern Hokkaido,Stable,1,2
6.362737627,0.606886468,30.52523174,IW 4,Southern Hokkaido,Stable,1,2
2.90473751,0.576666667,7.945717,SS 5,Southern Hokkaido,Stable,1,2
4.830908444,0.524199113,20.71256448,US 2,Southern Hokkaido,Stable,1,2
7.081735885,0.610837532,6.191765739,US 3,Southern Hokkaido,Stable,1,2
8.264218,0.634441342,9.448763,IW 5,Southern Hokkaido,Unresolve,1,2
4.937847604,0.617467627,17.71459173,US 4,Southern Hokkaido,Unresolve,1,2
4.938660633,0.576821859,3.753606832,US 5,Southern Hokkaido,Unresolve,1,2
5.629789273,0.549308406,6.337199,AG 1,Rikuchu,Stable,1,3
6.142553004,0.591700308,7.712523863,AG 2,Rikuchu,Stable,1,3
2.857174544,0.561428527,6.369008786,AG 3,Rikuchu,Stable,1,3
2.633826729,0.455845712,5.710596039,AG 4,Rikuchu,Stable,1,3
3.654039912,0.518337819,4.263025056,AG 5,Rikuchu,Stable,1,3
5.688817,0.586222187,4.469963,AK 1,Rikuchu,Stable,1,3
5.359232,0.554267754,6.956731,AK 2,Rikuchu,Stable,1,3
5.083625,0.524013427,2.813881,AK 5,Rikuchu,Stable,1,3
2.655514181,0.520419047,3.709942272,KG 1,Rikuchu,Stable,1,3
4.764156415,0.604026177,3.807143324,KG 2,Rikuchu,Stable,1,3
3.832457243,0.558308081,4.787523096,KG 3,Rikuchu,Stable,1,3
4.940494119,0.534515902,4.141604414,KG 4,Rikuchu,Stable,1,3
5.001487874,0.564213041,3.165389968,KG 5,Rikuchu,Stable,1,3
3.752906555,0.526889254,6.110045,MJ 1,Rikuchu,Stable,1,3
4.692808321,0.540537881,3.635115142,MJ 3,Rikuchu,Stable,1,3
3.967697202,0.506861451,2.306908767,MJ 4,Rikuchu,Stable,1,3
4.638873505,0.527844857,4.767133464,MJ 5,Rikuchu,Stable,1,3
3.824847009,0.566799138,15.04431525,OR 1,Rikuchu,Stable,1,3
8.427361912,0.614175282,13.51531558,OR 2,Rikuchu,Stable,1,3
4.952536348,0.559702729,9.234761859,OR 3,Rikuchu,Stable,1,3
3.377896782,0.554622393,4.160517575,OR 4,Rikuchu,Stable,1,3
5.526323754,0.540807266,10.65274355,MJ 2,Rikuchu,abrupt,1,3
4.514154049,0.592260031,9.158570027,EM 4,Boso,Linear,0,2
4.805440064,0.595324974,22.60801081,EM 5,Boso,Linear,0,2
6.309054642,0.570778936,13.51150585,KM 2,Boso,Linear,0,2
4.746849735,0.544305191,17.6551315,MR 1,Boso,Linear,0,2
5.439888906,0.545320018,13.66275805,MR 3,Boso,Linear,0,2
5.553508538,0.555813644,31.55650373,NS 2,Boso,Linear,0,2
7.14,0.64555383,10.3801,CK 3,Boso,Linear,0,2
7.333236354,0.583776464,14.406653,CK 1,Boso,Stable,0,2
5.916334892,0.547488746,11.99724766,CK 2,Boso,Stable,0,2
6.830984503,0.570286837,10.76641383,CK 4,Boso,Stable,0,2
4.92657769,0.523176876,16.89584111,CK 5,Boso,Stable,0,2
6.449577153,0.554892004,18.65641738,EM 2,Boso,Stable,0,2
5.079573733,0.555848263,17.08519875,KM 1,Boso,Stable,0,2
6.230369013,0.638771574,12.39498863,KM 4,Boso,Stable,0,2
5.424113166,0.499807477,46.65330232,KM 5,Boso,Stable,0,2
3.832720731,0.512105239,16.95085397,MR 2,Boso,Stable,0,2
5.590680771,0.478231497,9.030145592,NS 3,Boso,Stable,0,2
6.528658791,0.578233656,16.94363297,NS 4,Boso,Stable,0,2
5.325352101,0.524408104,16.03896891,NS 5,Boso,Stable,0,2
6.057890901,0.636093356,14.05551329,EM 1,Boso,Unresolve,0,2
4.813322329,0.552852334,29.25948967,EM 3,Boso,Unresolve,0,2
7.444907576,0.610816133,5.105929694,KM 3,Boso,Unresolve,0,2
4.967381388,0.594618491,8.359573666,MR 4,Boso,Unresolve,0,2
4.185789452,0.502617492,10.16587038,MR 5,Boso,Unresolve,0,2
5.854703559,0.502617492,17.45081865,NS 1,Boso,Unresolve,0,2
4.136036488,0.457225276,6.391028503,BN 4,Nanki,Linear,0,3
6.007982583,0.520627424,4.970788,MT 1,Nanki,Linear,0,3
2.578231505,0.483951419,8.768006756,TD 3,Nanki,Linear,0,3
5.23288182,0.524786492,19.26474,TN 1,Nanki,Linear,0,3
4.047766038,0.549129858,10.97468,BN 2,Nanki,Stable,0,3
4.455639316,0.62060975,15.36933731,BN 5,Nanki,Stable,0,3
3.728023252,0.476487904,12.05089,HC 2,Nanki,Stable,0,3
3.849874822,0.50310316,11.69678068,HC 5,Nanki,Stable,0,3
3.576201784,0.57079464,6.597869,MT 2,Nanki,Stable,0,3
5.031152949,0.594187615,6.944964422,MT 4,Nanki,Stable,0,3
4.930318014,0.537958644,9.230427116,TD 4,Nanki,Stable,0,3
4.413077536,0.544554509,13.55605881,TN 2,Nanki,Stable,0,3
4.521336568,0.537131934,11.74159447,TN 4,Nanki,Stable,0,3
4.996602106,0.521719335,8.426164998,TN 5,Nanki,Stable,0,3
4.616125174,0.530798156,8.834414242,BN 1,Nanki,Unresolve,0,3
4.530173441,0.492983971,5.683738999,BN 3,Nanki,Unresolve,0,3
3.221231098,0.488857382,6.773020133,HC 1,Nanki,Unresolve,0,3
4.305555556,0.522904974,20.46936233,HC 3,Nanki,Unresolve,0,3
4.796490407,0.607589058,13.61269462,HC 4,Nanki,Unresolve,0,3
6.221362965,0.596539243,7.484304826,MT 3,Nanki,Unresolve,0,3
5.820882408,0.612317704,5.857682051,MT 5,Nanki,Unresolve,0,3
3.494763792,0.531332001,25.46174791,TD 1,Nanki,Unresolve,0,3
4.030638201,0.449402264,14.79358434,TD 2,Nanki,Unresolve,0,3
3.77951349,0.426331475,6.994326673,TD 5,Nanki,Unresolve,0,3
4.448400381,0.538935346,13.48161063,TN 3,Nanki,Unresolve,0,3
6.640783086,0.63610828,4.59353608,HZ 1,Osumi,Linear,0,1
6.379562687,0.668182721,8.042518017,HZ 5,Osumi,Linear,0,1
8.812799849,0.685164303,7.072998892,OD 5,Osumi,Linear,0,1
4.677994506,0.546124976,13.17222222,TJ 1,Osumi,Linear,0,1
8.321428571,0.583002277,8.422682424,TJ 5,Osumi,Linear,0,1
6.767903758,0.635111122,11.58263215,TK 2,Osumi,Linear,0,1
11.14623507,0.731474359,4.210311364,TK 4,Osumi,Linear,0,1
5.264437064,0.599680019,7.243529523,HZ 2,Osumi,Stable,0,1
6.51927997,0.626286551,10.67364079,HZ 4,Osumi,Stable,0,1
5.271560666,0.680780271,2.670314323,OD 1,Osumi,Stable,0,1
4.312155049,0.57985826,4.60021474,OD 3,Osumi,Stable,0,1
4.332833612,0.541181173,13.71809987,SD 4,Osumi,Stable,0,1
4.420329049,0.561517711,8.142587119,SD 5,Osumi,Stable,0,1
5.446383495,0.639951875,3.721315168,HZ 3,Osumi,Unresolve,0,1
5.620174139,0.550802005,4.741389677,OD 2,Osumi,Unresolve,0,1
6.259942341,0.625876634,13.87240205,OD 4,Osumi,Unresolve,0,1
2.984334097,0.42256506,8.480283935,SD 1,Osumi,Unresolve,0,1
3.752314547,0.588987398,16.86419203,SD 2,Osumi,Unresolve,0,1
4.332703709,0.47437582,32.03465589,SD 3,Osumi,Unresolve,0,1
6.513735315,0.600482929,3.968915039,TJ 2,Osumi,Unresolve,0,1
8.880520817,0.741792466,20.2249367,TJ 3,Osumi,Unresolve,0,1
5.647917648,0.612611381,8.644468891,TJ 4,Osumi,Unresolve,0,1
8.614707079,0.690903243,8.044515805,TK 1,Osumi,Unresolve,0,1
8.173797542,0.633942196,2.793540596,TK 3,Osumi,Unresolve,0,1
5.380494219,0.609657027,4.814376144,TK 5,Osumi,Unresolve,0,1
